 	Sigma1	Sigma2	Distance	Sigma
769	3.19	1.48	32.25	3.516603475
770	3.27	1.61	19.41	3.644859394
771	3.87	1.67	25.13	4.214949585
772	3.6	3.09	15.18	4.744270228
773	2.08	1.65	18.39	2.654976459
774	2.09	1.52	21.68	2.584279397
775	2.33	1.38	18.11	2.708006647
776	2.13	1.51	9.78	2.610938529
777	2.43	1.47	5.45	2.840035211
778	2.36	1.49	8.43	2.791003404
779	3.27	1.81	31.22	3.737512542
780	3.11	1.63	23.83	3.511267577
781	3.19	1.48	32.25	3.516603475
782	3.27	1.61	19.41	3.644859394
783	3.87	1.67	25.13	4.214949585
784	0.8	0.78	12.13	1.117318218
785	0.92	0.79	9.21	1.212641744
786	0.81	0.76	9.74	1.110720487
787	0.86	0.72	6.28	1.121605991
788	0.84	0.73	8.85	1.112879149
789	0.78	0.72	6.55	1.061508361
790	0.96	0.72	7.37	1.2
791	1	0.69	3.2	1.214948559
792	0.95	0.71	6.67	1.186001686
793	1.01	0.69	7.67	1.223192544
794	0.98	0.67	3.17	1.187139419
795	0.89	0.77	2.98	1.17686023
796	1.08	0.66	14.84	1.265701387
797	1.01	0.82	9.74	1.300961183
798	4.08	2.04	16.47	4.561578674
799	2.57	4.02	22.32	4.771299613
800	2.57	3.71	12.42	4.513202854
801	2.4	2.49	14.6	3.458337751
802	2.81	3.8	37.2	4.726108336
803	2.98	1.84	21.92	3.502284968
804	2.37	1.85	20.38	3.006559496
805	3.07	1.57	8.03	3.448158929
806	3.29	1.94	6.04	3.819384767
807	4.1	1.67	15.81	4.42706449
808	3.25	1.62	17.23	3.631377149
809	2.13	2.15	8.59	3.026450066
810	1.81	0.76	24.95	1.963084308
811	1.71	3.12	20.25	3.557878581
812	1.63	0.75	17.02	1.794268653
813	1.34	0.79	23.65	1.555538492
814	1.54	0.81	14.43	1.740028735
815	1.9	0.81	18.86	2.065453945
816	1.57	0.92	11.29	1.819697777
817	2.19	4.11	13.17	4.657059158
818	1.95	0.8	11.08	2.107723891
819	1.75	4.07	25.3	4.430282158
820	1.76	0.77	15.1	1.921067412
821	1.6	0.77	23.61	1.775640729
822	1.87	0.8	18.27	2.033937069
823	2.22	0.84	14.94	2.373604853
824	2.47	0.88	20	2.622079328
825	2.71	0.84	21	2.837199323
826	2.66	0.84	30.14	2.789480238
827	2.11	3.64	21.88	4.207338826
828	2.48	0.9	21.99	2.638257
829	2.55	0.94	17.01	2.71773803
830	2.4	1.02	18.88	2.607757657
831	3.07	2.24	7.16	3.800328933
832	3.02	2.28	9.45	3.784019027
833	2.44	2.54	23.33	3.522101645
834	3.33	1.67	20.87	3.725291935
835	2.73	2.4	14.13	3.634955295
836	3.4	2.1	11.92	3.996248241
837	3.78	2.1	16.34	4.324164659
838	3.35	2.06	18.69	3.932696276
839	3.53	1.47	16.74	3.823846231
840	4.11	2.37	15.07	4.744365079
841	3.58	1.39	13.44	3.840377586
842	3.08	2.29	8.79	3.838033351
843	3.5	1.47	24.8	3.796169122
844	3.95	2.37	19.96	4.606451997
845	2.84	1.7	6.2	3.30992447
846	3.33	2.19	8.17	3.985599077
847	2.74	1.76	16.88	3.256562605
848	4.75	2.56	16.3	5.395933654
849	3.73	1.77	19.67	4.128655956
850	3.08	1.85	11.05	3.592895768
851	4.03	1.79	18.08	4.409648512
852	1.89	1.37	20.92	2.33430932
853	1.8	1.65	9.73	2.441823089
854	2.47	1.64	15.51	2.964877738
855	3.11	2.31	9.99	3.874041817
856	3.64	1.93	17.08	4.120012136
857	3.21	2.69	32.22	4.188102196
858	1.01	0.39	13.34	1.082681855
859	1.02	0.42	5.47	1.103086579
860	1.16	0.4	8.8	1.227028932
861	1.27	0.43	5.17	1.340820644
862	1.29	0.44	11.15	1.362974688
863	1.19	0.49	6.54	1.286934342
864	1.28	0.46	11.55	1.360147051
865	1.14	0.48	10.12	1.236931688
866	1.5	0.47	12.49	1.571909667
867	1.85	0.56	15.84	1.932899377
868	1.5	0.56	25.41	1.601124605
869	1.53	0.58	19.92	1.636245703
870	1.58	0.63	7.01	1.700970311
871	1.77	0.67	17.2	1.892564398
872	1.76	0.67	16.78	1.883215336
873	1.92	0.69	29.04	2.040220576
874	1.91	0.66	12.85	2.020816667
875	2.29	3.01	25.78	3.78208937
876	1.87	3.39	12.34	3.871562992
877	1.45	3.22	15.56	3.531416147
